symbol,name,price
CC1FI34.SA,"CF Industries Holdings, Inc.",421.40
CC1MA34.SA,Comerica Incorporated,246.75
BBBSE3.SA,BB Seguridade Participações S.A.,35.50
HH1RL34.SA,Hormel Foods Corporation,123.61
SS1WK34.SA,"Stanley Black & Decker, Inc.",107.10
EEMBJ3.SA,Embraer S.A.,93.79
CCLXC34.SA,The Clorox Company,137.00
PP1EA34.SA,"Healthpeak Properties, Inc.",92.61
RR1DY34.SA,Dr. Reddy's Laboratories Limited,12.52
AA1EG34.SA,Aegon Ltd.,42.72
BBOXP34.SA,"BXP, Inc.",36.55
BB1FC34.SA,Brown-Forman Corporation,139.00
BB1MR34.SA,BioMarin Pharmaceutical Inc.,161.90
RR1VT34.SA,"Revvity, Inc.",19.04
CC2PT34.SA,Camden Property Trust,39.00
AA1LG34.SA,"Align Technology, Inc.",216.45
SS1BS34.SA,Sibanye Stillwater Limited,42.92
SSUZB3.SA,Suzano S.A.,50.00
CCPFE3.SA,CPFL Energia S.A.,52.69
GG1LL34.SA,Globe Life Inc.,37.96
BB1IL34.SA,Bilibili Inc.,29.04
NN1CL34.SA,Norwegian Cruise Line Holdings Ltd.,129.52
AAALL34.SA,American Airlines Group Inc.,86.16
BB1AX34.SA,Baxter International Inc.,55.26
AA1TH34.SA,Autohome Inc.,11.84
AA1ES34.SA,The AES Corporation,78.76
SS1JM34.SA,The J. M. Smucker Company,257.75
TTIMS3.SA,TIM S.A.,21.67
PP2AT34.SA,UiPath Inc.,11.99
GGPSI34.SA,"The Gap, Inc.",137.77
WWABC34.SA,Western Alliance Bancorporation,464.00
EE1DU34.SA,New Oriental Education & Technology Group Inc.,20.28
VV1IP34.SA,Vipshop Holdings Limited,48.12
KK1TC34.SA,KT Corporation,103.07
AA1RE34.SA,"Alexandria Real Estate Equities, Inc.",71.04
CCXSE3.SA,Caixa Seguridade Participações S.A.,16.16
EEQTL3.SA,Equatorial S.A.,38.27
AA1PA34.SA,APA Corporation,134.55
PP1YC34.SA,"Paycom Software, Inc.",28.28
XXPBR31.SA,XP Inc.,91.10
RRENT3.SA,Localiza Rent a Car S.A.,43.98
AAWII34.SA,"Armstrong World Industries, Inc.","1,032.00"
AA1DC34.SA,AGREE REALTYDRN ED,47.92
CC1AG34.SA,"Conagra Brands, Inc.",91.35
LL1MN34.SA,"Lumen Technologies, Inc.",42.60
EE2ST34.SA,Elastic N.V.,33.36
DDVAI34.SA,DaVita Inc.,597.05
RRADL3.SA,Raia Drogasil S.A.,24.20
MMOSC34.SA,The Mosaic Company,22.30
SS1KM34.SA,"SK Telecom Co., Ltd.",27.59
CC1PB34.SA,The Campbell's Company,141.96
GGGBR4.SA,Gerdau S.A.,21.31
MM1TC34.SA,"Match Group, Inc.",8.72
CC2HD34.SA,Churchill Downs Incorporated,29.70
QQ1RV34.SA,"Qorvo, Inc.",216.33
CCMIG3.SA,Companhia Energética de Minas Gerais - CEMIG,14.34
VV1NO34.SA,Vornado Realty Trust,182.59
VVFCO34.SA,V.F. Corporation,51.30
GG1DS34.SA,GDS Holdings Limited,20.92
NN1IC34.SA,NICE Ltd.,25.32
NNEOE3.SA,Neoenergia S.A.,31.86
SS2TA34.SA,"STAG Industrial, Inc.",40.53
EENEV3.SA,Eneva S.A.,20.06
FFMXB34.SA,"Fomento Económico Mexicano, S.A.B. de C.V.",556.08
LLBRD34.SA,Liberty Broadband Corporation,21.80
EEQPA5.SA,Equatorial Pará Distribuidora de Energia S.A.,17.00
TT1AL34.SA,TAL Education Group,5.98
CCPLE3.SA,Companhia Paranaense de Energia - COPEL,12.16
MM1HK34.SA,"Mohawk Industries, Inc.",22.20
GGGBR3.SA,Gerdau S.A.,18.12
EEGIE3.SA,Engie Brasil Energia S.A.,31.03
CCMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,11.03
EE2TS34.SA,"Etsy, Inc.",22.34
PPRIO3.SA,Prio S.A.,41.14
MMACY34.SA,"Macy's, Inc.",123.00
DD2AR34.SA,Darling Ingredients Inc.,25.68
PPSSA3.SA,Porto Seguro S.A.,49.68
CCRDA34.SA,Credit Acceptance Corporation,253.05
EENGI3.SA,Energisa S.A.,12.43
MMOTV3.SA,Motiva Infraestrutura de Mobilidade S.A.,15.37
BB2HI34.SA,"BILL Holdings, Inc.",1.68
VVBBR3.SA,Vibra Energia S.A.,25.35
WW1IX34.SA,Wix.com Ltd.,18.34
CCMIN3.SA,CSN Mineração S.A.,5.55
LL1WH34.SA,"Lamb Weston Holdings, Inc.",108.35
TT1FX34.SA,Teleflex Incorporated,67.85
RRAIL3.SA,Rumo S.A.,14.64
MMBRF3.SA,Marfrig Global Foods S.A.,18.90
CC2ZR34.SA,"Caesars Entertainment, Inc.",12.98
WW1PP34.SA,WPP plc,24.33
EENGI4.SA,Energisa S.A.,8.57
CC1NS34.SA,Celanese Corporation,116.28
RRIGG34.SA,Transocean Ltd.,22.67
TTOTS3.SA,TOTVS S.A.,42.54
BB1BW34.SA,"Bath & Body Works, Inc.",29.52
WW1HR34.SA,Whirlpool Corporation,107.69
AAURA33.SA,Aura Minerals Inc.,92.69
KKLBN4.SA,Klabin S.A.,3.69
